"","decade","total_hostile","total_neutral","total_orderly","grand_total","percent_hostile","percent_neutral","percent_orderly"
"1",1800,2,0,0,2,100,0,0
"2",1830,9,3,1,13,69.2307692307692,23.0769230769231,7.69230769230769
"3",1840,33,3,2,38,86.8421052631579,7.89473684210526,5.26315789473684
"4",1850,50,56,4,110,45.4545454545455,50.9090909090909,3.63636363636364
"5",1860,15,9,2,26,57.6923076923077,34.6153846153846,7.69230769230769
"6",1870,12,13,6,31,38.7096774193548,41.9354838709677,19.3548387096774
"7",1880,75,92,32,199,37.6884422110553,46.2311557788945,16.0804020100502
"8",1890,301,282,42,625,48.16,45.12,6.72
"9",1900,392,348,60,800,49,43.5,7.5
"10",1910,171,131,17,319,53.6050156739812,41.0658307210031,5.32915360501567
"11",1920,67,71,6,144,46.5277777777778,49.3055555555556,4.16666666666667
"12",1930,34,23,1,58,58.6206896551724,39.6551724137931,1.72413793103448
"13",1940,11,2,1,14,78.5714285714286,14.2857142857143,7.14285714285714
"14",NA,188,194,22,404,46.5346534653465,48.019801980198,5.44554455445545
